id,size,min_moves,total_states,articulation_points,avg_branching,score,manual_score
f15847df05c62d0d2d79e90182f6c020468abc41fefe3e3696902fb4ced9d2d0,16,4,16,0,3.0,0.09,
22a2c1730d1ec52e456928b4ae5d0d12e32db59bd5567dab9a6bdef4f8acd196,20,18,11936,14,3.984584450402145,2.29,
8f418c0c143fb1bc9e15da2dd69ffc3e007b4c46d09b57ab1164e231b386969b,25,138,11748,72,3.857167177391896,3.93,
06961962ed2724523d73499dc76dd83687adbe3bce9aca70f59fcdf8ca7e6893,30,79,50019,24,5.42301925268398,3.72,
da65f9547c8d1acc7e69565eff7f736d072fadee967c3d7b533d6aa20d898154,20,6,1625,4,4.353230769230769,0.58,
3a9fca367f11c0d09b8dcd80f4826a6bdce9590160e88ee01bdc9f11832f9215,25,44,5262,12,4.397567464842266,4.11,
8c0e67744c65c9c2e3c2685611232a4bd48cddc2a3236061910a8d96001c73fd,16,28,50,22,2.48,3.82,
b1af40216f46a0e78521797d64c8d47b9f6897eeed98f3ea6682d7dd7b1fea65,20,22,120410,1,5.265742048002657,2.05,
a677dee4c253e90a2c400ef14656eaf4a64a939ed4ac6800901146c36b816fde,30,369,76056,213,2.9296833911854425,2.71,
60e1f93c7a6295ad1df1c00f40a2393ceecd02d180d7901e140997518dc5a238,30,57,229230,13,4.549640099463421,3.91,
8db751707cb2c695cfba2c6b44266a3b86c3898a9200986da59cd0695e39e97f,24,48,7126,35,3.6632051641874823,4.31,
ce693a27e63bc8f30b362634ca939da851277256936eb18072d6c9e58aeacaaf,30,45,2500040,44,2.9647909633445866,3.87,
1c74b7c24a5522832896306623699abdd84ac4bbe9ba1154302fc87b74333aaf,25,150,79409,52,4.289287108514149,3.91,
97d41e5834d04ed6da7211c0d74403dcce031f727ecef66ddac40acda678f0c4,36,9,37,7,2.4324324324324325,0.72,
4b7569816b9252a4e0889cd27c89263d6f7f9452e8fb9d9560f54a22dde539e8,25,9,13,8,1.8461538461538465,0.72,
0b1339cced33fb2276e03ef9cc4fc926c5cf0f14be8cdfe3a87b0d32fbb0c0f6,30,390,186504,138,4.013522498176982,2.63,
4dc45f306f8241e224266f3c88bbae662cb42e6459bb2cbc7db81757cc068f98,35,44,81485,4,5.74029575995582,3.4,
0c9c5856fb419c0e5d96adbf341352e7b6ada8c91d9ee145ae52004eac3ae600,30,369,76056,213,2.9296833911854425,2.71,
2e73c61b20603c3bd089e487133b7551441e7547b280bc840bc8639b358fadfc,35,87,2500010,33,3.0639061443754225,4.03,
2e10c2f4b9d76ea6441babb721a7f5f74955e58fa42c7e2a37e26e6e88799d72,30,57,2500001,36,3.319434672226131,4.09,
a4ff6f9894fef581677f78cc9723041e232372db9b4148ba86b517f98fe21b8d,25,123,222564,55,3.289588612713646,4.01,
d0f37b019359bbb65ce282e28fd12943138f2df297751e61552171e4707c431c,36,48,2500027,21,3.422572636215529,3.71,
587fd3e2faff6fc734a3362056ebcd6f9da42d224cb72388dec9fc8cfac307a4,35,56,47950,21,3.3595828988529717,3.93,
57e2445dc60ffd859f5dcebb6c457c05e7fe5114faf4e7476881584e1e98007c,25,51,75172,15,3.953759378491992,4.15,
3d861335b2da231ec6bb26ed81a902df03fc175f012697c6b41f97d32de4bff8,25,62,333540,29,3.496708041014571,4.2,
64cffce79068e1cd1f32720f517181775653cb7768615731725c624c4e02499f,25,66,2408,27,3.5415282392026577,4.29,
6424c9ae02383ed080216e90dfce09719386b3a974af8e04deec2a5bfe387109,25,65,34262,8,5.021189656178857,3.46,
bc8366d8611345f82bf0399e3f2f6ca1b662e5bc21719f71062a364a37bfde37,36,80,16058,33,4.390459584007971,3.92,
02fa0ca8a233414d4c6e01c85e45fc2c7ace1b12ef7ee159d6a45ca021c0fd74,25,81,2254,38,3.2422360248447206,4.23,
974b44927ecc15570f1ec7e8869acb9f35d39b7676ca9d9e79f4261b0fb3faaf,30,224,460306,70,4.339413346773668,3.73,
e5d4bd7560cca55608e60af4a943ea8540b349624a6a3d780a07b3ad3e984a09,25,75,8568,32,3.1984126984126986,4.22,
847b03098d25d4b8bf16c515d1e5d9688b711b3c598438972cd92a65a0ee63bd,30,153,91951,34,3.8290393796696063,3.74,
41b71ca26bb7f907b44365528f2364ab447445948231a8b17d32e3c5a0987f2c,30,271,313391,72,4.499969686430051,3.72,
f304ccaab97f63edf8809a588d49868e291699ca2eb6346871cfdb4f3945c46b,25,254,20592,154,3.1884226884226883,2.76,
700bdb8b787137a75050ef6b842821c37c473c3e6466e76a930b6094127cb9bb,35,448,403011,186,3.830337137199729,2.62,
f17f81b01d8cf6debbb370c2f78abcf39a742eb5a550bcaf046aa3f5629dc1fd,35,472,806532,125,4.369820416300903,2.65,
bedf16a6d33e334269cd071bb330014770c40fabeddad7f3bff056777352af5c,35,538,511533,196,3.983438018661553,2.62,
dda7a1460b5eb11962b689c857db3dff9a73b8707005b9919fd6d33f666a4679,35,460,552036,124,4.108623350651045,2.62,
8b9d941894922ba8b1922f769bc620f2d77c5ba6072555d1bf979fef22a0e519,10000,0,0,0,0.0,0.05,
8a0a3749427da2d9e4d8f20cb7d15bf513842666cdf5076a2146a61b1628f804,100,0,0,0,0.0,0.05,
a36c7cb74bb03c02f80385146320e2966214e38d843f4f11d521290abde5d154,55,3,2500019,2,2.225050289617799,0.17,
d215382e91c2778d9ce122d81dd706548ec464e631c81616130c62a651e99b94,1000000000000,0,0,0,0.0,0.05,
9634595ae04f8f70276c5558bcbe18680702ee2a41582ee3a5b42ab55f04dabc,16,7,1575,6,4.6374603174603175,0.56,
4c4a9139f36cc993de17f1a743ac471bf777ef8326f3945af33a97214f9f0944,299,126,167,125,1.9880239520958085,1.57,
baafd64c2532c6941058a12c03e9701c954b39ede5073302c43452e5e4a7eed1,35,312,269836,112,4.72579640967106,2.6,
727045469264592491a3c9dba6648b1dec71ff41f72e4e09119a89541aad7960,25,68,15050,14,5.200132890365449,4.01,
29813bb7f06e3d8032be0b94687b443e1ac8b01858c0cc241b15735e017b460a,35,651,2500000,7,4.0989728,3.56,
dcafa96d09ce9a1bfde53cd53532072f7029ae3dc0a5b96f50ca19bed19c2455,20,56,2923,18,4.43790626069107,4.39,
78d7234c0d8f3414fd2cd46a39522de224ce78a085d0d37e752b9b57e80407ac,36,352,57365,132,4.180667654493158,2.61,
4d24069de6685431e55eaffa15873c469b90206af6ac7138b929234d8b0cbb0a,42,198,236732,55,4.58019194701181,3.71,
f8edc4101cc9c29e591767c388f25a4b6e6a25451a7755f769e0902c8fa0baa6,42,229,134209,82,4.181612261472777,3.72,
45a7942b61dcb8b9e74f6f104dbbea1a18ff9203bc00e392a534179b20318ef1,30,380,1452645,151,3.999173920675733,2.67,
83b404164ee7a786627f24d2db245718a7f557e7616c98508c66f709ae69a41b,48,2687,2500003,213,2.637451235058518,2.72,
b26401817634903b55770e7ba014e69b5010d1360d599a71830913dad676c83d,25,34,10879,9,4.0597481386156815,3.16,
25bcff9f6274ac64dfbf20746d237b877123ad976edf045b0a0239b49fa8fc90,30,45,87143,13,4.555982695110336,3.86,
cc0ae2de4756f256ea556c16bce5b7d7bab914468c3db95627ca3b911e0f1690,25,256,205720,112,3.616799533346296,2.76,
fef2811ff78d2315d73bd98afba1f607488cb332113db0505fd1195f94dfd114,30,32,192140,10,4.82885396065369,3.17,
e51cef723ba027692c9a621ed850db056ad87b2f6f3937cf50cb74a30b8389e3,25,22,79164,7,5.451518366934465,2.01,
ad50df0bda2d5e78359e86b0f4b25cee03f4b95a9cc7257e45b4772dd098ae67,36,76,1680,46,3.698809523809524,3.91,
8897ec6503e77e4065339db0c15e155e4c72052d997d0045d7c253078663817f,30,16,2500002,15,4.183549453160437,2.34,
87ec141c1c2859b25a6503993ed2ac14a5097aa4c47a14ce550a25a8248f28b6,30,38,2500028,29,3.1088075813550886,3.16,
cfdc7bbb153b76b3d3d1154adcfff8f5e4bc831bf5e609a0ba55ea5685afa2c2,25,11,3993,4,4.654144753318307,0.66,
fc087d7a168655a6704b6fa7f867fcb2d4c9e99e8bc803d2f4a29af4d05f94a5,25,34,5332,14,3.9939984996249063,3.34,
